768474 | 04BQ04 Nov 09 23:23:53 04 | L04 D1         |  2:25:58.2  -4:29:34 2000 |  660 | u | 1.10 | 0.98 1.03   288 |P 1 V Q|	 2140 |
768467 | 04BQ04 Nov 09 21:59:00 04 | L04 D1         |  2:25:58.2  -4:29:34 2000 |  660 | u | 1.22 | 0.85 0.98   274 |P 1 V Q|	 2140 |
767818 | 04BQ04 Nov 06 22:12:50 04 | L04 D1         |  2:25:58.2  -4:30:26 2000 |  225 | g | 1.19 | 0.92 1.03   483 |A 3 V Q|	 2137 |
769788 | 04BQ04 Nov 20 20:52:17 04 | L04 D1         |  2:25:58.2  -4:30:26 2000 |  360 | z | 1.27 | 0.85 0.92  9100 |A 5 O D|	 2151 |
727335 | 03BQ05 Nov 18 00:10:01 03 | L01 D1         |  2:25:58.3  -4:28:21 2000 |  520 | i | 1.14 | 0.83 0.92  3098 |P 2 V Q|	 1783 |
882871 | 06BQ08 Dec 11 22:27:02 06 | L01 D1         |  2:25:58.3  -4:30:27 2000 |  300 | r | 1.13 | 0.81 0.83   687 |P 1 V Q|	 2902 |
774742 | 04BQ05 Dec 16 19:21:55 04 | L01 D1         |  2:25:58.3  -4:30:27 2000 |  360 | i | 1.24 | 0.67 0.72  2073 |P 1 V Q|	 2177 |
871652 | 06BQ03 Sep 21 03:41:41 06 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  225 | g | 1.12 | 0.80 0.82   429 |P 1 V Q|	 2821 |
776470 | 04BQ06 Jan 05 21:58:40 05 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  225 | g | 1.31 | 0.91 0.95   467 |P 1 V D|	 2197 |
819715 | 05BQ07 Oct 24 01:16:06 05 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  300 | r | 1.11 | 0.66 0.68  1379 |P 1 V D|	 2489 |
864322 | 06BQ01 Sep 01 03:11:05 06 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  300 | r | 1.14 | 0.61 0.65   650 |P 1 V Q|	 2801 |
776463 | 04BQ06 Jan 05 21:26:43 05 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  300 | r | 1.21 | 0.82 0.85   767 |P 1 V D|	 2197 |
863569 | 06BQ01 Aug 24 03:05:35 06 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  360 | z | 1.21 | 0.62 0.65  2459 |A 1 V Q|	 2793 |
882881 | 06BQ08 Dec 11 23:23:51 06 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  360 | z | 1.25 | 0.84 0.83  1377 |P 1 V Q|	 2902 |
776459 | 04BQ06 Jan 05 20:58:26 05 | L01 D1         |  2:25:58.3  -4:30:28 2000 |  520 | i | 1.15 | 0.83 0.97  2727 |P 1 V D|	 2197 |
885543 | 06BQ08 Dec 25 20:29:10 06 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  300 | r | 1.10 | 0.97 0.97   965 |P 1 V Q|	 2916 |
767542 | 04BQ04 Nov 01 23:05:06 04 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  300 | r | 1.14 | 0.99 0.92  2159 |A 1 V D|	 2132 |
879885 | 06BQ07 Nov 17 00:52:52 06 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  300 | r | 1.23 | 0.84 0.85   666 |P 1 V Q|	 2878 |
769117 | 04BQ04 Nov 12 23:43:29 04 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  360 | z | 1.10 | 0.65 0.73  2038 |P 1 V Q|	 2143 |
767547 | 04BQ04 Nov 01 23:43:09 04 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  520 | i | 1.10 | 0.62 0.68  5103 |A 1 V Q|	 2132 |
769833 | 04BQ04 Nov 20 23:52:36 04 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  520 | i | 1.14 | 0.64 0.72  4808 |A 1 V Q|	 2151 |
769104 | 04BQ04 Nov 12 21:59:56 04 | L01 D1         |  2:25:58.3  -4:30:30 2000 |  520 | i | 1.18 | 0.81 0.91  3080 |P 1 V Q|	 2143 |
884603 | 06BQ08 Dec 19 21:45:38 06 | L01 D1         |  2:25:58.3  -4:30:31 2000 |  225 | g | 1.12 | 0.98 0.98   349 |P 2 V Q|	 2910 |
870798 | 06BQ03 Sep 18 04:14:53 06 | L01 D1         |  2:25:58.3  -4:30:31 2000 |  225 | g | 1.16 | 0.84 0.86   488 |P 1 V Q|	 2818 |
889799 | 06BQ10 Jan 16 21:12:37 07 | L01 D1         |  2:25:58.3  -4:30:31 2000 |  225 | g | 1.29 | 0.96 0.98   389 |P 2 V Q|	 2938 |
760596 | 04BQ02 Sep 05 03:50:32 04 | L01 D1         |  2:25:58.3  -4:30:31 2000 |  300 | r | 1.10 | 0.76 0.86  1496 |A 1 V Q|	 2075 |
760602 | 04BQ02 Sep 05 04:32:43 04 | L01 D1         |  2:25:58.3  -4:30:31 2000 |  360 | z | 1.11 | 0.74 0.81  1798 |A 1 V Q|	 2075 |
760594 | 04BQ02 Sep 05 03:26:57 04 | L01 D1         |  2:25:58.3  -4:30:31 2000 |  520 | i | 1.11 | 0.63 0.77  2593 |A 1 V Q|	 2075 |
879488 | 06BQ07 Nov 14 00:21:05 06 | L01 D1         |  2:25:58.3  -4:30:32 2000 |  300 | r | 1.14 | 0.61 0.60   675 |P 1 V Q|	 2875 |
759018 | 04BQ01 Aug 22 04:21:27 04 | L01 D1         |  2:25:58.3  -4:30:32 2000 |  360 | z | 1.11 | 0.81 0.83  2148 |P 1 V D|	 2061 |
759005 | 04BQ01 Aug 22 02:30:57 04 | L01 D1         |  2:25:58.3  -4:30:32 2000 |  520 | i | 1.35 | 0.74 0.82  3444 |P 1 V Q|	 2061 |
757470 | 04BQ01 Aug 12 04:19:53 04 | L04 D1         |  2:25:58.4  -4:28:52 2000 |  225 | g | 1.15 | 0.72 0.85   442 |P 1 V Q|	 2051 |
