"Name"	"Zentralobjekt"	"Entfernung"	"Periode"	"Exzentrizitaet"	"Inklination"	"Bahngeschwindigkeit"	"Masse"	"Massenmittel"	"Standardabweichung"
		"x1000km"	"Tage"		"Grad"	"km/s"	"kg"		
"S/2000_S7"	"Saturn"	20341.5	1077	0.51	175	1.37	5.75E+026		
"S/2000_S1"	"Saturn"	23332.9	1326	0.39	172.9	1.28	5.73E+026		


"Cordelia"	"Uranus"	49.81	0.34	0	0.14	10.81	8.73E+025		
"Ophelia"	"Uranus"	53.7	0.38	0	0.09	10.39	8.68E+025		
"Bianca"	"Uranus"	59.08	0.44	0	0.16	9.88	8.64E+025		
"Cressida"	"Uranus"	61.77	0.46	0	0.04	9.68	8.68E+025		
"Desdemona"	"Uranus"	62.67	0.47	0	0.16	9.61	8.69E+025		
"Juliet"	"Uranus"	64.32	0.49	0	0.06	9.49	8.68E+025		
"Portia"	"Uranus"	66.11	0.51	0	0.09	9.37	8.71E+025		
"Rosalind"	"Uranus"	69.85	0.56	0	0.28	9.1	8.68E+025		
"1986_U10"	"Uranus"	74.93	0.62	0	0	8.75	8.60E+025		
"Belinda"	"Uranus"	75.23	0.62	0	0.03	8.77	8.67E+025		
"Puck"	"Uranus"	86	0.76	0	0.31	8.21	8.69E+025		
"Miranda"	"Uranus"	129.68	1.41	0	4.22	6.69	8.70E+025		
"Ariel"	"Uranus"	191.45	2.52	0	0.31	5.52	8.76E+025		
"Umbriel"	"Uranus"	266.24	4.14	0.01	0.36	4.68	8.73E+025		
"Titania"	"Uranus"	435.25	8.71	0	0.77	3.63	8.62E+025		
"Oberon"	"Uranus"	590.8	13.5	0	0.1	3.18	8.97E+025		
"Caliban"	"Uranus"	7164.4	581	0.08	139.6	0.9	8.64E+025		
"Stephano"	"Uranus"	7912.25	672	0.15	141.6	0.86	8.70E+025		
"S/2001_U1"	"Uranus"	8570.36	758	0.21	166.3	0.82	8.69E+025		
"Sycorax"	"Uranus"	12204.9	1289	0.51	152.6	0.69	8.68E+025		
"Prospero"	"Uranus"	16452.7	2009	0.32	146.3	0.6	8.75E+025		


"Naiad"	"Neptun"	48.01	0.29	0	4.74	11.88	1.02E+026		
"Thalassa"	"Neptun"	49.96	0.31	0	0.21	11.68	1.02E+026		
"Despina"	"Neptun"	52.5	0.34	0	0.07	11.4	1.02E+026		
"Galatea"	"Neptun"	61.92	0.43	0	0.05	10.5	1.02E+026		
"Larissa"	"Neptun"	73.59	0.56	0	0.06	9.64	1.03E+026		
"Proteus"	"Neptun"	117.56	1.12	0	0.04	7.63	1.03E+026		
"Triton"	"Neptun"	354.48	5.88	0	157.4	4.38	1.02E+026		
"Nereid"	"Neptun"	5519.13	360	0.75	27.6	1.11	1.03E+026		
